Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.sourceforge.atunes.gui.views.controls.TextComponentCopyAction,19,2,9,4,1,7,0.666666667,0.333333333,0,2,3
net.sourceforge.atunes.gui.views.controls.TextComponentCutAction,27,2,14,5,1,12,0.666666667,0.333333333,0,2,3
net.sourceforge.atunes.gui.views.controls.TextComponentDeleteAction,14,2,10,3,1,8,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.controls.TextComponentPasteAction,25,2,14,5,1,12,0.666666667,0.333333333,0,2,3
net.sourceforge.atunes.gui.views.controls.TextComponentPopupMenuMouseAdapter,45,2,20,7,1,18,0,0,0,3,9
net.sourceforge.atunes.gui.views.controls.TextComponentSelectAllAction,13,2,8,2,1,6,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.controls.ToggleButtonActionListener,10,2,3,2,1,1,0,0,0,2,1
net.sourceforge.atunes.gui.views.controls.ToggleButtonFlowPanel,254,24,99,27,1,76,0.862876254,0.826923077,0,40,13
net.sourceforge.atunes.gui.views.controls.ToggleButtonOfFlowPanel,33,7,8,4,0,1,0.8,0.685714286,0,7,5
net.sourceforge.atunes.gui.views.controls.UrlLabel,22,4,8,3,1,5,0.833333333,0.625,0,3,2
net.sourceforge.atunes.gui.views.controls.VolumeIconCalculator,49,9,13,5,0,4,0.875,0.777777778,0,21,7
net.sourceforge.atunes.gui.views.controls.VolumeSlider,16,2,13,1,1,11,2,1,0,2,1
net.sourceforge.atunes.gui.views.CopyTransferHandler,7,1,1,2,1,0,0,1,0,1,1
net.sourceforge.atunes.gui.views.decorators.AlbumTreeCellDecorator,32,5,12,8,1,7,0.75,0.6,0,7,4
net.sourceforge.atunes.gui.views.decorators.ArtistTreeCellDecorator,32,5,12,8,1,7,0.75,0.6,0,7,4
net.sourceforge.atunes.gui.views.decorators.FolderTreeCellDecorator,11,2,6,6,1,4,0,0,0,2,1
net.sourceforge.atunes.gui.views.decorators.GenreTreeCellDecorator,11,2,6,6,1,4,0,0,0,2,1
net.sourceforge.atunes.gui.views.decorators.IncompleteTagsTreeCellDecorator,25,4,7,8,1,3,0.666666667,0.5,0,5,3
net.sourceforge.atunes.gui.views.decorators.NavigationTreeRootTreeCellDecorator,13,1,9,6,1,8,0,0,0,1,0
net.sourceforge.atunes.gui.views.decorators.NavigationViewTreeCellRendererCode,25,2,9,8,2,7,0,0,0,4,1
net.sourceforge.atunes.gui.views.decorators.PodcastFeedTreeCellDecorator,11,2,6,6,1,4,0,0,0,2,1
net.sourceforge.atunes.gui.views.decorators.RadioTreeCellDecorator,11,2,6,6,1,4,0,0,0,2,1
net.sourceforge.atunes.gui.views.decorators.StringTreeCellDecorator,42,7,15,9,1,8,0.866666667,0.742857143,0,8,5
net.sourceforge.atunes.gui.views.decorators.UnknownElementTreeCellDecorator,27,4,10,7,1,6,0.666666667,0.5,0,5,2
net.sourceforge.atunes.gui.views.decorators.YearTreeCellDecorator,11,2,6,6,1,4,0,0,0,2,1
net.sourceforge.atunes.gui.views.dialogs.AboutDialog,146,9,56,21,2,47,0.95,0.844444444,0,11,5
net.sourceforge.atunes.gui.views.dialogs.ColumnSetSelectorDialog,128,8,52,20,2,44,0.942857143,0.825,0,10,5
net.sourceforge.atunes.gui.views.dialogs.ColumnsTableModel,112,15,42,12,1,27,0.821428571,0.766666667,0,32,4
net.sourceforge.atunes.gui.views.dialogs.ConfirmationDialog,40,7,11,3,2,4,0.833333333,0.714285714,0,7,3
net.sourceforge.atunes.gui.views.dialogs.CoverNavigatorDialog,74,9,40,16,2,31,0.90625,0.805555556,0,9,4
net.sourceforge.atunes.gui.views.dialogs.CustomSearchDialog,181,24,50,15,2,26,0.95942029,0.919444444,0,24,15
net.sourceforge.atunes.gui.views.dialogs.EditTagDialog,242,24,80,26,2,56,0.917874396,0.87962963,0,35,9
net.sourceforge.atunes.gui.views.dialogs.EditTagDialog.TagAttributeControls,14,3,3,2,0,0,0.5,0.333333333,0,3,2
net.sourceforge.atunes.gui.views.dialogs.EditTitlesDialog,75,9,27,11,2,18,0.925,0.822222222,0,9,5
net.sourceforge.atunes.gui.views.dialogs.ErrorDialog,29,7,11,5,2,5,0.833333333,0.714285714,0,8,1
net.sourceforge.atunes.gui.views.dialogs.ErrorReportDialog,105,6,50,19,2,44,1.05,0.875,0,8,4
net.sourceforge.atunes.gui.views.dialogs.ExtendedToolTip,69,5,28,13,2,23,0.833333333,0.666666667,0,7,6
net.sourceforge.atunes.gui.views.dialogs.FileSelectorDialog,127,16,42,14,2,28,0.893333333,0.8375,0,38,5
net.sourceforge.atunes.gui.views.dialogs.FolderSelectorDialog,72,11,29,13,2,19,0.875,0.795454545,0,17,4
net.sourceforge.atunes.gui.views.dialogs.FolderSelectorDialog.RejectAllFilesFileFilter,7,1,1,3,1,0,0,0,0,1,0
net.sourceforge.atunes.gui.views.dialogs.FontChooserDialog,185,7,76,24,2,69,0.816666667,0.7,0,7,10
net.sourceforge.atunes.gui.views.dialogs.IndeterminateProgressDialog,51,4,22,10,2,18,1.333333333,1,0,4,1
net.sourceforge.atunes.gui.views.dialogs.InputDialog,76,7,33,14,2,26,0.875,0.75,0,7,4
net.sourceforge.atunes.gui.views.dialogs.ListMessageDialog,81,7,32,15,2,26,1.083333333,0.928571429,0,9,2
net.sourceforge.atunes.gui.views.dialogs.MakeDonationDialog,108,9,43,17,2,34,0.916666667,0.814814815,0,9,6
net.sourceforge.atunes.gui.views.dialogs.MessageDialog,37,8,14,8,2,8,0.714285714,0.625,0,8,1
net.sourceforge.atunes.gui.views.dialogs.OSDDialog,89,8,45,12,2,37,0.821428571,0.71875,0,11,12
net.sourceforge.atunes.gui.views.dialogs.ProgressDialog,115,15,40,15,2,25,0.857142857,0.8,1,15,7
net.sourceforge.atunes.gui.views.dialogs.properties.AbstractFieldProvider,15,4,8,3,1,4,0,0,6,4,0
net.sourceforge.atunes.gui.views.dialogs.properties.AlbumArtistProvider,15,3,5,3,2,2,0.5,0.333333333,0,3,1
net.sourceforge.atunes.gui.views.dialogs.properties.AlbumProvider,15,3,5,3,2,2,0.5,0.333333333,0,3,1
net.sourceforge.atunes.gui.views.dialogs.properties.ArtistProvider,15,3,5,3,2,2,0.5,0.333333333,0,3,1
net.sourceforge.atunes.gui.views.dialogs.properties.AudioObjectPropertiesDialog,22,4,10,5,2,6,1.333333333,1,3,4,1
net.sourceforge.atunes.gui.views.dialogs.properties.AudioObjectPropertiesDialogFactory,27,2,4,4,1,2,0,0,0,8,1
net.sourceforge.atunes.gui.views.dialogs.properties.FileNameProvider,15,3,5,3,2,2,0.5,0.333333333,0,3,1
net.sourceforge.atunes.gui.views.dialogs.properties.FilePathProvider,15,3,5,3,2,2,0.5,0.333333333,0,3,1
net.sourceforge.atunes.gui.views.dialogs.properties.FillPictureBackgroundWorker,28,6,11,6,1,5,0.8,0.666666667,0,6,2
net.sourceforge.atunes.gui.views.dialogs.properties.IValueProvider,5,3,3,0,0,0,0,0,1,3,0
net.sourceforge.atunes.gui.views.dialogs.properties.LocalAudioObjectPropertiesDialog,194,11,78,27,3,67,0.8,0.727272727,0,14,20
net.sourceforge.atunes.gui.views.dialogs.properties.PodcastFeedEntryPropertiesDialog,186,14,75,21,3,61,0.870192308,0.808035714,0,21,16
net.sourceforge.atunes.gui.views.dialogs.properties.ProviderLabel,24,2,13,7,1,11,0.5,0.25,0,4,4
net.sourceforge.atunes.gui.views.dialogs.properties.RadioPropertiesDialog,111,8,48,16,3,40,0.873015873,0.763888889,0,11,9
net.sourceforge.atunes.gui.views.dialogs.properties.SongProvider,10,2,3,2,2,1,0,0,0,2,0
net.sourceforge.atunes.gui.views.dialogs.RadioDialog,119,10,42,14,2,32,0.873015873,0.785714286,0,10,7
net.sourceforge.atunes.gui.views.dialogs.RecommendedEventsDialog,203,8,84,26,2,76,0.885714286,0.775,0,11,10
net.sourceforge.atunes.gui.views.dialogs.RecommendedEventsDialog.RecommendedEventCellRendererCode,19,2,5,7,2,3,0,0,0,5,1
net.sourceforge.atunes.gui.views.dialogs.RecommendedEventsDialog.RecommendedEventPanel,46,2,23,7,1,21,2,1,0,4,1
net.sourceforge.atunes.gui.views.dialogs.RepositoryProgressDialog,181,21,65,18,2,44,0.91875,0.875,0,21,17
net.sourceforge.atunes.gui.views.dialogs.RepositoryProgressDialog.GlassPaneMouseListener,2,0,0,0,1,0,0,0,0,0,0
net.sourceforge.atunes.gui.views.dialogs.SearchDialog,106,10,49,16,2,39,0.888888889,0.8,0,10,4
net.sourceforge.atunes.gui.views.dialogs.SearchResultsDialog,76,9,26,10,2,17,0.916666667,0.814814815,0,9,6
net.sourceforge.atunes.gui.views.dialogs.SelectorDialog,63,5,32,13,2,27,0.875,0.7,0,6,4
net.sourceforge.atunes.gui.views.dialogs.ShowMessageDialogRunnable,12,2,5,2,1,3,0,0,0,2,2
net.sourceforge.atunes.gui.views.dialogs.TransferProgressDialog,15,3,8,4,3,5,1.5,1,0,3,1
net.sourceforge.atunes.gui.views.dialogs.UpdateDialog,65,2,37,15,2,35,2,1,0,2,1
net.sourceforge.atunes.gui.views.menus.ApplicationMenuBar,57,11,15,3,1,4,0.911111111,0.828282828,0,11,9
net.sourceforge.atunes.gui.views.menus.DeviceMenu,35,7,11,3,1,4,0.888888889,0.761904762,0,7,6
net.sourceforge.atunes.gui.views.menus.EditMenu,59,11,20,6,1,9,0.92,0.836363636,0,12,10
net.sourceforge.atunes.gui.views.menus.EditTagMenu,39,2,8,7,1,6,2,1,0,2,1
net.sourceforge.atunes.gui.views.menus.FileMenu,36,7,12,4,1,5,0.888888889,0.761904762,0,8,6
net.sourceforge.atunes.gui.views.menus.HelpMenu,52,10,15,4,1,5,0.913580247,0.822222222,0,11,9
net.sourceforge.atunes.gui.views.menus.PlayActionFromMenuBar,16,2,8,3,1,6,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.menus.PlayerMenu,32,7,11,4,1,4,0.888888889,0.761904762,0,7,6
net.sourceforge.atunes.gui.views.menus.PlayListMenu,26,3,10,3,1,7,1,0.666666667,0,3,2
net.sourceforge.atunes.gui.views.menus.PlayListMenuFiller,222,16,45,17,0,30,0.633333333,0.59375,0,31,2
net.sourceforge.atunes.gui.views.menus.PlayListPopupMenu,25,2,8,2,1,6,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.menus.ToolsMenu,60,11,15,3,1,4,0.92,0.836363636,0,11,10
net.sourceforge.atunes.gui.views.menus.ViewMenu,50,8,17,6,1,9,0.897959184,0.785714286,0,10,7
net.sourceforge.atunes.gui.views.panels.ContextPanelContainer,155,12,64,14,3,52,0.868686869,0.796296296,0,23,9
net.sourceforge.atunes.gui.views.panels.CustomPlayerControlsBuilder,33,1,7,10,0,6,0,0,0,2,0
net.sourceforge.atunes.gui.views.panels.FilterPanel,102,9,37,16,3,28,0.910714286,0.80952381,0,9,7
net.sourceforge.atunes.gui.views.panels.FilterPanel.ClearButton,49,5,19,7,2,14,0.875,0.7,0,6,2
net.sourceforge.atunes.gui.views.panels.NavigationControlPanel,145,22,62,17,1,40,0.922619048,0.880681818,0,24,16
net.sourceforge.atunes.gui.views.panels.NavigationTablePanel,47,10,23,7,3,13,0.833333333,0.75,0,10,4
net.sourceforge.atunes.gui.views.panels.NavigationTreePanel,70,10,36,12,3,26,0.844444444,0.76,0,12,5
net.sourceforge.atunes.gui.views.panels.PlayerControlsPanel,181,24,65,28,3,41,0.933110368,0.894230769,0,28,13
net.sourceforge.atunes.gui.views.panels.PlayerControlsSize,25,4,7,4,0,3,0.833333333,0.625,0,4,2
net.sourceforge.atunes.gui.views.panels.PlayListPanel,48,9,18,8,1,9,0.892857143,0.793650794,0,9,7
net.sourceforge.atunes.gui.views.panels.PlayListSelectorPanel,20,5,7,3,1,2,1,0.8,0,5,2
net.sourceforge.atunes.gui.views.panels.SecondaryPlayerControlsBuilder,41,6,11,6,0,5,0.8,0.666666667,0,6,5
net.sourceforge.atunes.gui.views.panels.StandardPlayerControlsBuilder,31,1,7,10,0,6,0,0,0,2,0
net.sourceforge.atunes.gui.WindowFader,89,7,23,5,0,16,0.666666667,0.571428571,0,18,5
net.sourceforge.atunes.kernel.AbstractHandler,68,21,21,8,2,1,0.916666667,0.873015873,26,21,3
net.sourceforge.atunes.kernel.AbstractSimpleController,23,7,6,1,1,0,0.666666667,0.571428571,15,6,1
net.sourceforge.atunes.kernel.AbstractStateRetrieveTask,35,7,9,4,1,3,0.777777778,0.666666667,6,7,3
net.sourceforge.atunes.kernel.actions.AbstractActionOverSelectedObjects,72,9,22,10,2,15,0.875,0.777777778,34,21,3
net.sourceforge.atunes.kernel.actions.AbstractActionOverSelectedTreeObjects,52,8,21,12,2,15,0.904761905,0.791666667,6,14,3
net.sourceforge.atunes.kernel.actions.ActionWithColorMutableIcon,36,8,15,4,2,7,0.928571429,0.8125,10,8,2
net.sourceforge.atunes.kernel.actions.AddAlbumsMostPlayedAction,34,7,12,7,2,5,0.916666667,0.785714286,0,7,4
net.sourceforge.atunes.kernel.actions.AddAlbumWithSelectedArtistsAction,57,9,25,13,3,16,0.925,0.822222222,0,13,5
net.sourceforge.atunes.kernel.actions.AddArtistsMostPlayedAction,34,7,12,7,2,5,0.916666667,0.785714286,0,7,4
net.sourceforge.atunes.kernel.actions.AddArtistTopTracksToPlayListAction,118,11,42,22,3,31,0.955555556,0.868686869,0,17,9
net.sourceforge.atunes.kernel.actions.AddArtistTopTracksToPlayListAction.GetTopTracksCallable,33,2,15,8,1,13,0,0,0,7,1
net.sourceforge.atunes.kernel.actions.AddBannedSongInLastFMAction,56,8,19,7,2,11,0.904761905,0.791666667,0,8,6
net.sourceforge.atunes.kernel.actions.AddFavoriteRadioAction,40,6,12,6,3,6,1,0.833333333,0,12,2
net.sourceforge.atunes.kernel.actions.AddFolderToRepositoryAction,15,3,7,1,2,4,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.AddLovedSongInLastFMAction,29,6,15,3,2,9,0.9,0.75,0,6,4
net.sourceforge.atunes.kernel.actions.AddPodcastFeedAction,18,4,7,4,2,3,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.AddRadioAction,19,4,7,4,2,3,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.AddRandomSongsAction,34,7,12,7,2,5,0.916666667,0.785714286,0,7,4
net.sourceforge.atunes.kernel.actions.AddSongsMostPlayedAction,34,7,12,7,2,5,0.916666667,0.785714286,0,7,4
net.sourceforge.atunes.kernel.actions.AddToPlayListAction,29,6,11,6,3,5,1,0.833333333,0,6,2
net.sourceforge.atunes.kernel.actions.AddToPlayListAfterCurrentAudioObjectAction,31,6,13,6,3,7,1,0.833333333,0,6,2
net.sourceforge.atunes.kernel.actions.AddToPlayListRemoteAction,54,8,16,8,2,8,0.942857143,0.825,0,16,5
net.sourceforge.atunes.kernel.actions.AddUnplayedSongsAction,34,7,12,7,2,5,0.916666667,0.785714286,0,7,4
net.sourceforge.atunes.kernel.actions.ArrangePlayListColumnsAction,28,5,13,7,2,8,0.916666667,0.733333333,0,5,3
net.sourceforge.atunes.kernel.actions.AutoScrollPlayListAction,18,4,7,4,2,3,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.AutoSetCoversAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.AutoSetGenresAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.AutoSetLyricsAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.AutoSetTagFromFileNamePatternAction,46,7,21,11,3,14,0.916666667,0.785714286,0,8,4
net.sourceforge.atunes.kernel.actions.AutoSetTagFromFolderNamePatternAction,50,8,22,12,3,14,0.914285714,0.8,0,9,5
net.sourceforge.atunes.kernel.actions.AutoSetTitlesAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.AutoSetTracksAction,65,7,20,14,3,13,0.958333333,0.821428571,0,14,4
net.sourceforge.atunes.kernel.actions.CheckUpdatesAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.ClearCachesAction,45,5,18,6,2,13,0.875,0.7,0,5,4
net.sourceforge.atunes.kernel.actions.ClearPlayListAction,45,8,19,8,2,11,0.928571429,0.8125,0,9,4
net.sourceforge.atunes.kernel.actions.ClearTagNavigatorAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.ClearTagPlaylistAction,18,3,8,4,3,5,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.CloseOtherPlaylistsAction,22,4,10,4,2,6,0.833333333,0.625,0,4,2
net.sourceforge.atunes.kernel.actions.ClosePlaylistAction,20,4,10,4,2,6,0.833333333,0.625,0,4,2
net.sourceforge.atunes.kernel.actions.CollapseTreesAction,16,3,9,1,2,6,1,0.666666667,0,4,2
net.sourceforge.atunes.kernel.actions.ConnectDeviceAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.CopyPlayListToDeviceAction,25,5,11,4,2,6,0.875,0.7,0,5,4
net.sourceforge.atunes.kernel.actions.CopyToDeviceAction,79,12,25,12,3,13,0.909090909,0.833333333,0,24,7
net.sourceforge.atunes.kernel.actions.CopyToRepositoryAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.CreatePlayListWithSelectedAlbumsAction,51,7,24,11,3,17,0.866666667,0.742857143,0,11,5
net.sourceforge.atunes.kernel.actions.CreatePlayListWithSelectedArtistsAction,48,7,22,10,3,15,0.866666667,0.742857143,0,10,5
net.sourceforge.atunes.kernel.actions.CustomAbstractAction,44,12,15,9,1,5,1,0.916666667,105,10,2
net.sourceforge.atunes.kernel.actions.CustomSearchAction,25,5,11,2,2,6,0.916666667,0.733333333,0,5,3
net.sourceforge.atunes.kernel.actions.DisconnectDeviceAction,20,4,10,2,2,6,0.888888889,0.666666667,0,4,3
net.sourceforge.atunes.kernel.actions.DownloadPodcastEntryAction,31,4,10,5,3,6,0.833333333,0.625,0,8,2
net.sourceforge.atunes.kernel.actions.EditDynamicPlayListAction,24,5,10,5,2,5,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.EditPreferencesAction,14,3,7,1,2,4,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.EditRadioAction,32,5,12,6,3,7,1,0.8,0,8,2
net.sourceforge.atunes.kernel.actions.EditTagNavigatorAction,25,5,9,6,3,4,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.EditTagPlaylistAction,20,4,10,3,3,6,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.EditTitlesAction,28,4,11,5,3,7,1,0.75,0,9,2
net.sourceforge.atunes.kernel.actions.ExitAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.ExpandTreesAction,16,3,9,1,2,6,1,0.666666667,0,4,2
net.sourceforge.atunes.kernel.actions.ExportNavigatorSelectionAction,31,6,12,6,3,6,0.933333333,0.777777778,0,6,3
net.sourceforge.atunes.kernel.actions.ExportPlayListAction,33,6,15,6,2,9,0.85,0.708333333,0,6,4
net.sourceforge.atunes.kernel.actions.ExportPlayListSelectionAction,31,6,15,6,2,9,0.85,0.708333333,0,6,4
net.sourceforge.atunes.kernel.actions.ExtractPictureAction,56,6,25,11,3,19,0.9,0.75,0,10,4
net.sourceforge.atunes.kernel.actions.FillDeviceWithRandomSongsAction,43,6,19,7,2,13,0.85,0.708333333,0,8,4
net.sourceforge.atunes.kernel.actions.FullScreenAction,15,3,8,1,2,5,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.FullScreenRemoteAction,20,4,5,4,2,1,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.GoToWebSiteAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.GoToWikiAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.ImportLovedTracksFromLastFMAction,100,12,41,15,2,29,0.919191919,0.842592593,0,17,9
net.sourceforge.atunes.kernel.actions.ImportToRepositoryAction,54,5,25,8,2,20,0.75,0.6,0,12,3
net.sourceforge.atunes.kernel.actions.LoadNewPlayListAction,73,9,35,12,2,26,0.910714286,0.80952381,0,15,7
net.sourceforge.atunes.kernel.actions.LoadPlayListAction,66,8,32,12,2,24,0.904761905,0.791666667,0,14,6
net.sourceforge.atunes.kernel.actions.MakeDonationAction,30,4,15,4,2,11,0.888888889,0.666666667,0,6,3
net.sourceforge.atunes.kernel.actions.MarkPodcastEntryListenedAction,29,4,9,5,3,5,1,0.75,0,8,2
net.sourceforge.atunes.kernel.actions.MarkPodcastListenedAction,42,5,14,7,3,9,0.916666667,0.733333333,0,12,3
net.sourceforge.atunes.kernel.actions.MoveAfterCurrentAudioObjectAction,58,5,26,6,2,21,0.875,0.7,0,9,2
net.sourceforge.atunes.kernel.actions.MoveDownAction,27,5,13,5,2,8,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.MoveFolderFromNavigatorAction,140,11,46,18,3,35,0.922222222,0.838383838,0,25,9
net.sourceforge.atunes.kernel.actions.MoveToBottomAction,27,5,13,5,2,8,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.MoveToTopAction,27,5,13,5,2,8,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.MoveUpAction,27,5,13,5,2,8,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.MuteAction,38,8,17,3,2,9,0.892857143,0.78125,0,8,4
net.sourceforge.atunes.kernel.actions.NewDynamicPlayListAction,33,5,12,7,2,7,0.916666667,0.733333333,0,6,3
net.sourceforge.atunes.kernel.actions.NewPlayListAction,20,4,9,4,2,5,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.NewPlayListRemoteAction,21,4,7,4,2,3,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.NextPlayListAction,29,6,15,5,2,9,0.866666667,0.722222222,0,6,3
net.sourceforge.atunes.kernel.actions.NormalizeModeAction,78,9,28,10,3,19,0.895833333,0.796296296,0,14,6
net.sourceforge.atunes.kernel.actions.NormalizeModeAction.WarningActionListener,18,1,6,2,1,5,0,0,0,3,1
net.sourceforge.atunes.kernel.actions.OpenFolderAction,21,4,8,4,3,4,0.888888889,0.666666667,0,5,3
net.sourceforge.atunes.kernel.actions.OpenFolderFromNavigatorTableAction,34,7,14,7,3,7,0.875,0.75,0,8,4
net.sourceforge.atunes.kernel.actions.OpenFolderFromNavigatorTreeAction,34,6,11,6,3,5,0.933333333,0.777777778,0,10,3
net.sourceforge.atunes.kernel.actions.PlayAction,24,4,10,4,2,6,1,0.75,0,6,2
net.sourceforge.atunes.kernel.actions.PlayNextAudioObjectAction,25,5,11,2,2,6,0.916666667,0.733333333,0,5,3
net.sourceforge.atunes.kernel.actions.PlayNextAudioObjectRemoteAction,20,4,5,4,2,1,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.PlayNowAction,47,8,21,8,2,13,0.857142857,0.75,0,11,4
net.sourceforge.atunes.kernel.actions.PlayPreviousAudioObjectAction,25,5,11,2,2,6,0.916666667,0.733333333,0,5,3
net.sourceforge.atunes.kernel.actions.PlayPreviousAudioObjectRemoteAction,20,4,5,4,2,1,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.PlayRemoteAction,20,4,5,4,2,1,1,0.75,0,4,2
net.sourceforge.atunes.kernel.actions.PreviousPlayListAction,29,6,15,5,2,9,0.866666667,0.722222222,0,6,3
net.sourceforge.atunes.kernel.actions.PrintHelpToRemoteAction,48,6,21,8,2,16,1,0.833333333,0,9,2
net.sourceforge.atunes.kernel.actions.PrintSongInfoRemoteAction,57,7,17,7,2,10,0.933333333,0.8,0,13,5
net.sourceforge.atunes.kernel.actions.PrintSongListRemoteAction,129,12,38,11,2,26,0.922077922,0.845238095,0,50,7
net.sourceforge.atunes.kernel.actions.PrintVolumeRemoteAction,34,5,12,4,2,7,0.916666667,0.733333333,0,13,3
net.sourceforge.atunes.kernel.actions.RefreshDeviceAction,15,3,7,1,2,4,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.RefreshFolderFromNavigatorAction,35,5,11,6,3,6,0.916666667,0.733333333,0,12,3
net.sourceforge.atunes.kernel.actions.RefreshRepositoryAction,16,3,9,1,2,6,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.RemoteAction,52,12,19,8,1,8,0.939393939,0.861111111,18,13,6
net.sourceforge.atunes.kernel.actions.RemoveCommonPrefixFromTitlesAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.RemoveCommonSuffixFromTitlesAction,28,5,11,7,3,6,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.RemoveDuplicatesFromPlayListAction,93,9,36,16,2,27,0.946428571,0.841269841,0,10,7
net.sourceforge.atunes.kernel.actions.RemoveDuplicatesFromPlayListAction.RemoveDuplicatesCallable,28,1,15,6,1,14,0,0,0,4,0
net.sourceforge.atunes.kernel.actions.RemoveFromDiskAction,123,15,44,16,2,29,0.880952381,0.822222222,0,31,9
net.sourceforge.atunes.kernel.actions.RemoveFromFavoritesAction,81,9,33,12,2,24,0.875,0.777777778,0,23,6
net.sourceforge.atunes.kernel.actions.RemoveFromPlayListAction,26,5,13,5,2,8,1,0.8,0,5,2
net.sourceforge.atunes.kernel.actions.RemoveLovedSongInLastFmAction,29,6,15,3,2,9,0.9,0.75,0,6,4
net.sourceforge.atunes.kernel.actions.RemoveOldPodcastEntryAction,34,5,11,6,3,6,0.916666667,0.733333333,0,9,3
net.sourceforge.atunes.kernel.actions.RemovePodcastFeedAction,33,5,14,8,2,9,0.916666667,0.733333333,0,7,3
net.sourceforge.atunes.kernel.actions.RemoveRadioAction,33,5,9,6,3,4,1,0.8,0,10,2
net.sourceforge.atunes.kernel.actions.RenameAudioFileInNavigationTableAction,45,7,22,10,2,15,0.9,0.771428571,0,9,5
net.sourceforge.atunes.kernel.actions.RenamePlaylistAction,29,5,16,7,2,11,0.916666667,0.733333333,0,5,3
net.sourceforge.atunes.kernel.actions.RenamePodcastFeedAction,33,5,18,8,2,13,0.916666667,0.733333333,0,6,3
net.sourceforge.atunes.kernel.actions.RenameRadioLabelAction,54,7,23,11,2,16,0.9,0.771428571,0,12,5
net.sourceforge.atunes.kernel.actions.RepairAlbumNamesAction,42,7,22,10,2,15,0.933333333,0.8,0,8,5
net.sourceforge.atunes.kernel.actions.RepairAlbumNamesAction.FilesWithEmptyAlbumFilter,6,1,4,2,1,3,0,0,0,1,0
net.sourceforge.atunes.kernel.actions.RepairGenresAction,43,7,21,10,2,14,0.933333333,0.8,0,8,5
net.sourceforge.atunes.kernel.actions.RepairGenresAction.FilesWithEmptyGenre,6,1,3,2,1,2,0,0,0,1,0
net.sourceforge.atunes.kernel.actions.RepairTrackNumbersAction,72,8,27,16,2,19,0.928571429,0.8125,0,16,6
net.sourceforge.atunes.kernel.actions.RepairTrackNumbersAction.FilesWithEmptyTracksFilter,6,1,2,2,1,1,0,0,0,1,0
net.sourceforge.atunes.kernel.actions.RepeatModeAction,35,7,15,4,3,8,0.888888889,0.761904762,0,9,3
net.sourceforge.atunes.kernel.actions.RepeatModeRemoteAction,28,3,7,3,2,4,1.166666667,0.777777778,0,8,3
net.sourceforge.atunes.kernel.actions.ReportBugOrFeatureRequestAction,14,3,6,1,2,3,1,0.666666667,0,3,2
net.sourceforge.atunes.kernel.actions.RepositoryLoadCancelAction,14,3,6,1,2,3,1,0.666666667,0,3,2
